as_of_date,fund_id,fund_name,commitment_usd_m,paid_in_capital_usd_m,unfunded_commitment_usd_m,current_nav_usd_m,last_statement_date,valuation_status,proxy_mapping_flag,asset_class,strategy,sub_strategy,investment_geography,mandate_sector,proxy_ticker_or_bucket,proxy_mapping_confidence,reporting_cadence,source_document_id,update_type,extraction_mode,update_applied_flag,update_reason
2026-04-30,PF_CRESCENT_DIRECT_LEND,Crescent Direct Lending Fund,25,22,3,20.0,2026-04-15,"Monthly lender report received through April 15, 2026.",True,Private Credit,Senior Direct Lending,Senior Direct Lending,North America,Diversified Credit,HYG,0.82,Monthly,,,,,
2026-04-30,PF_SPRING_OPP_CREDIT,Spring Point Opportunistic Credit Fund,20,16,4,17.0,2026-04-10,"Monthly credit marks received through April 10, 2026.",True,Private Credit,Opportunistic Credit,Opportunistic Credit,Global / Multi-region,Special Situations Credit,HYG,0.82,Monthly,,,,,
2026-04-30,PF_COVE_SPECIALTY_FIN,Cove Specialty Finance Fund,20,15,5,14.0,2026-04-20,"Monthly specialty finance statement received through April 20, 2026.",True,Private Credit,Specialty Finance,Specialty Finance,North America,Financials,HYG,0.82,Monthly,,,,,
2026-04-30,PF_LIONROCK_CREDIT,LionRock Asia Private Credit Fund,20,12,8,16.5,2026-04-12,"Monthly Asia private credit statement received through April 12, 2026.",True,Private Credit,Asia Private Credit,Asia Private Credit,Southeast Asia,Diversified Credit,HYG,0.82,Monthly,,,,,
2026-04-30,PF_HARBOUR_CORE_RE,Harbour Core Real Estate Fund,25,20,5,20.0,2026-03-31,"Monthly real estate operating report received through March 31, 2026.",True,Real Estate,Core Real Estate,Core Real Estate,Global / Multi-region,Real Estate,VNQ,0.76,Monthly,,,,,
2026-04-30,PF_METRO_LOGISTICS,Metro Logistics Fund,20,16,4,12.5,2026-03-31,"Monthly logistics property report received through March 31, 2026.",True,Real Estate,Logistics Real Estate,Logistics Real Estate,Southeast Asia,Industrial Real Estate,VNQ,0.76,Monthly,,,,,
2026-04-30,PF_HOME_MULTIFAMILY,HomeStone Multifamily Fund,15,12,3,12.0,2026-03-31,"Monthly multifamily operating report received through March 31, 2026.",True,Real Estate,US Multifamily,US Multifamily,North America,Residential Real Estate,VNQ,0.76,Monthly,,,,,
2026-04-30,PF_APAC_LOGISTICS,APAC Logistics Real Estate Fund,15,12,3,8.0,2026-03-15,"Monthly APAC logistics report received through March 15, 2026.",True,Real Estate,APAC Logistics,APAC Logistics,Japan,Industrial Real Estate,VNQ,0.76,Monthly,,,,,
2026-04-30,PF_INFRA_CORE,Evergreen Core Infrastructure Fund,15,13,2,12.0,2026-03-31,Quarterly infrastructure valuation received for Q1 2026.,True,Infrastructure,Core Infrastructure,Core Infrastructure,Global / Multi-region,Infrastructure,IFRA,0.72,Quarterly,,,,,
2026-04-30,PF_RENEWABLES_II,SolarBridge Renewables Fund II,15,13,2,10.0,2026-03-31,"Monthly renewables operating report received through March 31, 2026.",True,Infrastructure,Renewables,Renewables,Global / Multi-region,Utilities / Infrastructure,IFRA,0.72,Monthly,,,,,
2026-04-30,PF_DIGITAL_INFRA,Horizon Digital Infrastructure Fund,10,9,1,8.0,2026-03-31,Quarterly digital infrastructure statement received for Q1 2026.,True,Infrastructure,Digital Infrastructure,Digital Infrastructure,Global / Multi-region,Diversified,IFRA,0.72,Quarterly,,,,,
