holding_id,holding_name,ticker_or_proxy,proxy_name,risk_proxy_bucket,asset_class,gics_sector,region_taxonomy,liquidity_bucket,use_in_final_risk_module,mapping_confidence,mapping_method,mapping_notes
H_GMACRO,Global Macro Hedge Fund Sleeve,ACWI,ACWI,Hedge Funds / Absolute Return,Hedge Funds / Absolute Return,Multi-Strategy,Global / Multi-region,Semi-Liquid,True,0.82,mandate_proxy,Monthly-dealing macro sleeve.
H_MKTNEUT,Equity Market Neutral Fund Sleeve,ACWI,ACWI,Hedge Funds / Absolute Return,Hedge Funds / Absolute Return,Multi-Strategy,Global / Multi-region,Semi-Liquid,True,0.82,mandate_proxy,Absolute return sleeve.
H_DBC,Broad Commodities ETF Proxy,DBC,DBC,Hedge Funds / Absolute Return,Hedge Funds / Absolute Return,Commodities,Global / Multi-region,Liquid,True,1.0,benchmark_proxy,Commodity diversifier.
H_VNQ,US Listed REIT ETF Proxy,VNQ,VNQ,Hedge Funds / Absolute Return,Hedge Funds / Absolute Return,Real Estate,North America,Liquid,True,1.0,lookthrough,Listed real estate proxy.
H_PF_NORTHSTAR_IV,Northstar Buyout Fund IV,ACWI,ACWI,Private Equity,Private Equity,Industrials,North America,Illiquid,True,0.74,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_HARBOR_PEAK_V,Harbor Peak Partners V,ACWI,ACWI,Private Equity,Private Equity,Diversified / Secondaries,Global / Multi-region,Illiquid,True,0.74,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,ACWI,ACWI,Private Equity,Private Equity,Business Services,North America,Illiquid,True,0.74,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,ACWI,ACWI,Private Equity,Private Equity,Diversified / Secondaries,Global / Multi-region,Illiquid,True,0.74,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_DRAGONBRIDGE,DragonBridge Greater China Fund,ACWI,ACWI,Private Equity,Private Equity,Consumer / Industrials,Greater China,Illiquid,True,0.74,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_BLUE_HORIZON_III,Blue Horizon Ventures III,QQQ,QQQ,Venture Capital / Growth,Venture Capital / Growth,Information Technology,North America,Illiquid,True,0.7,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_GLOBAL_GROWTH_II,Redwood Growth Fund II,QQQ,QQQ,Venture Capital / Growth,Venture Capital / Growth,Information Technology / Consumer,Global / Multi-region,Illiquid,True,0.7,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_SEEDSPRING_I,SeedSpring Southeast Asia VC Fund I,QQQ,QQQ,Venture Capital / Growth,Venture Capital / Growth,Information Technology / Consumer,Southeast Asia,Illiquid,True,0.7,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_INDIA_DIGITAL,Indigo India Digital Growth Fund,QQQ,QQQ,Venture Capital / Growth,Venture Capital / Growth,Information Technology,India,Illiquid,True,0.7,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_CLIMATE_ALPHA,Climate Alpha Fund,QQQ,QQQ,Venture Capital / Growth,Venture Capital / Growth,Climate / Industrials,Global / Multi-region,Illiquid,True,0.7,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_CRESCENT_DIRECT_LEND,Crescent Direct Lending Fund,HYG,HYG,Private Credit,Private Credit,Diversified Credit,North America,Illiquid,True,0.82,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_SPRING_OPP_CREDIT,Spring Point Opportunistic Credit Fund,HYG,HYG,Private Credit,Private Credit,Special Situations Credit,Global / Multi-region,Illiquid,True,0.82,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_COVE_SPECIALTY_FIN,Cove Specialty Finance Fund,HYG,HYG,Private Credit,Private Credit,Financials,North America,Illiquid,True,0.82,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_LIONROCK_CREDIT,LionRock Asia Private Credit Fund,HYG,HYG,Private Credit,Private Credit,Diversified Credit,Southeast Asia,Illiquid,True,0.82,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_HARBOUR_CORE_RE,Harbour Core Real Estate Fund,VNQ,VNQ,Real Estate,Real Estate,Real Estate,Global / Multi-region,Illiquid,True,0.76,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_METRO_LOGISTICS,Metro Logistics Fund,VNQ,VNQ,Real Estate,Real Estate,Industrial Real Estate,Southeast Asia,Illiquid,True,0.76,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_HOME_MULTIFAMILY,HomeStone Multifamily Fund,VNQ,VNQ,Real Estate,Real Estate,Residential Real Estate,North America,Illiquid,True,0.76,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_APAC_LOGISTICS,APAC Logistics Real Estate Fund,VNQ,VNQ,Real Estate,Real Estate,Industrial Real Estate,Japan,Illiquid,True,0.76,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_INFRA_CORE,Evergreen Core Infrastructure Fund,IFRA,IFRA,Infrastructure,Infrastructure,Infrastructure,Global / Multi-region,Illiquid,True,0.72,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_RENEWABLES_II,SolarBridge Renewables Fund II,IFRA,IFRA,Infrastructure,Infrastructure,Utilities / Infrastructure,Global / Multi-region,Illiquid,True,0.72,mandate_proxy,Private asset included through defensible public proxy overlay.
H_PF_DIGITAL_INFRA,Horizon Digital Infrastructure Fund,IFRA,IFRA,Infrastructure,Infrastructure,Diversified,Global / Multi-region,Illiquid,True,0.72,mandate_proxy,Private asset included through defensible public proxy overlay.
